vowel,word,voicing,sex,talker_id,f0,f1,f2,f3,f4,start_point,duration_ms,intensity_db,f1_norm,f2_norm,vot_duration_ms,two_talker,six_talker
a,bacho,voiced,f,928,176,811,1305,2964,3517,2.236256439077863,78,77,1.9635759971103879,-0.4327315165614332,-121.16722603662123,y,n
a,bacho,voiced,m,198,123,571,1277,2456,3057,2.2084885870854927,116,79,1.3611404074288656,-0.1309033669431648,-85.52698140162818,y,n
a,baso,voiced,f,007,140,786,1239,2413,3338,2.1352111672379723,114,80,1.7176807310590305,-0.38446534777451913,-22.1034887080247,n,y
a,baso,voiced,f,863,160,984,1519,2763,3953,2.2307495974068,95,76,2.153395687313848,-0.1458970242000918,-109.97773053038972,n,y
a,baso,voiced,f,928,176,708,1179,2163,3101,2.295602522494496,73,80,1.3632544545091116,-0.6169036870959396,-185.44470061857953,y,y
a,baso,voiced,m,198,122,575,1189,2421,3394,2.2187323025843564,113,78,1.3977794493515807,-0.3096387632348404,-100.15988313042534,y,y
a,baso,voiced,m,355,153,789,1251,2745,3331,2.191110452692177,56,80,1.6151292764416132,-0.39823909944966807,-69.87392169873897,n,y
a,baso,voiced,m,377,88,725,1101,2592,3589,2.2581004351153364,128,73,1.6910780284562053,-0.4298038037898429,-125.17484392562616,n,y
e,belo,voiced,f,928,212,453,2169,2853,3751,2.2203506556384696,106,76,-0.12297849076589264,0.8301633671037529,-93.2530767740718,y,n
e,belo,voiced,m,198,129,429,1652,2278,3166,2.230858621566217,119,75,0.060454419172480095,0.6307531513452257,-94.73929799897451,y,n
e,beno,voiced,f,007,136,480,2043,2571,4139,2.2459245549658347,95,75,0.022163622336245557,0.8705494293700746,-83.50178155756849,n,y
e,beno,voiced,f,863,170,424,2070,2784,3887,2.243088569256793,137,76,-0.25937258978850264,0.63533971374209,-126.77803583278013,n,y
e,beno,voiced,f,928,196,402,2244,2459,3325,2.2774153221837947,100,77,-0.4202250798208935,0.9397896590885781,-147.06107326805994,y,y
e,beno,voiced,m,198,125,418,1721,2357,3233,2.229321765682119,131,75,-0.04030294611498638,0.7708979507102894,-90.60608016708116,y,y
e,beno,voiced,m,355,159,517,2042,2575,3497,2.2031719865498656,121,76,0.0849475864655813,0.8673580386165728,-74.60150006695886,n,y
e,beno,voiced,m,377,100,389,1943,2592,3357,2.273557307230814,130,79,-0.17739358470158798,0.8070205393101155,-141.9141726365396,n,y
i,bicho,voiced,f,928,219,263,2533,3138,4172,2.1929594303242315,107,77,-1.2303677441080527,1.3622163042034379,-62.771949737100655,y,n
i,bicho,voiced,m,198,135,299,2086,2741,3372,2.227773844668762,87,77,-1.1303144433157601,1.5122436285109895,-101.95255826215632,y,n
i,bimo,voiced,f,007,152,326,2356,2836,3907,2.2240218793913544,122,74,-0.8311358376092083,1.359131052810694,-95.19266025366191,n,y
i,bimo,voiced,f,863,178,331,2600,2997,3795,2.261261915949617,102,75,-0.6600644643787144,1.386801548786294,-130.79362972793618,n,y
i,bimo,voiced,f,928,227,310,2531,3074,3667,2.308667962907131,86,75,-0.9564346130181499,1.3592929364171757,-141.60155329550506,y,y
i,bimo,voiced,m,198,130,285,1920,2630,3362,2.2269330315326483,121,74,-1.2585510900452628,1.1750836764153287,-89.71943289591877,y,y
i,bimo,voiced,m,355,168,324,2376,2821,3379,2.210887470373927,115,75,-1.000806333260059,1.4017568301641383,-86.35611590356129,n,y
i,bimo,voiced,m,377,95,218,2274,3125,3344,2.2465303808677723,139,77,-1.128312173540822,1.29323058392542,-127.34090909090901,n,y
o,bolo,voiced,f,928,200,413,1047,2734,3272,2.2962966169132173,103,77,-0.3561130704168737,-0.8098459609892319,-166.84205689275532,y,n
o,bolo,voiced,m,198,129,430,854,2377,3053,2.236160309714916,113,75,0.06961417965315886,-0.9900519195724692,-114.73901326288427,y,n
o,bono,voiced,f,007,155,471,858,2578,3383,2.238207556528709,108,78,-0.027704527920306945,-0.9791924996303527,-114.77937425799789,n,y
o,bono,voiced,f,863,160,414,1005,2837,3757,2.2622595730334663,110,76,-0.3024577375939017,-0.8746732189410744,-143.40747317506919,n,y
o,bono,voiced,f,928,206,449,1002,2891,3348,2.266919913226683,86,79,-0.14629194873099075,-0.875621736180127,-161.99343313967907,y,y
o,bono,voiced,m,198,125,402,940,2368,3078,2.2294395138973777,132,75,-0.18685911380584672,-0.8153786913783316,-111.95815671988728,y,y
o,bono,voiced,m,355,156,545,1000,2805,3690,2.248725879237808,131,77,0.24246628984546695,-0.7998381913012818,-125.63869440720322,n,y
o,bono,voiced,m,377,95,406,779,2695,3182,2.2919351340618603,115,80,-0.08285781855967582,-0.9027936357116798,-160.37697886055514,n,y
u,bumo,voiced,f,928,225,419,822,3092,3441,2.392376433463806,87,75,-0.32114288346922654,-1.1387248369437075,-111.88283814745992,y,n
u,bumo,voiced,m,198,134,376,912,2160,2667,2.238372095623985,133,76,-0.42501288630349476,-0.8722490447438648,-110.76503166049667,y,n
u,buso,voiced,f,007,144,261,824,2843,3749,2.176239681948844,133,73,-1.1912947005731986,-1.03226526383796,-58.573031070423994,n,y
u,buso,voiced,f,863,169,332,895,2779,3831,2.21614293651959,100,75,-0.6557559495981744,-1.0306369960257205,-92.33662409887656,n,y
u,buso,voiced,f,928,228,410,818,3080,3866,2.4465528905801612,105,77,-0.3735981638906973,-1.1445715725162315,-163.10128132208445,y,y
u,buso,voiced,m,198,134,357,746,2144,2737,2.234401808401027,111,75,-0.5990483354363914,-1.2094089968395256,-98.0696658225333,y,y
u,buso,voiced,m,355,168,344,889,2757,3418,2.2225731649601776,87,79,-0.8882929737029978,-0.9774377896898441,-77.11363636363622,n,y
u,buso,voiced,m,377,98,343,677,2531,2838,2.285253261675207,99,73,-0.43319624602676204,-1.0526227129043113,-142.30401888691756,n,y
a,pacho,voiceless,f,928,208,770,1282,1944,3247,2.3076561545602665,105,77,1.7246130529681323,-0.4663502461034463,11.293209231715728,y,n
a,pacho,voiceless,m,198,133,663,1311,2391,3017,2.146402914935283,98,73,2.2038383716513126,-0.0618465092850174,19.195093870400193,y,n
a,paso,voiceless,f,007,143,778,1295,2335,3429,2.1335854966545735,138,78,1.6733534863865394,-0.29705138319728375,17.054324715951807,n,y
a,paso,voiceless,f,863,169,843,1358,2761,3801,2.130169784874226,118,76,1.5458951032577202,-0.37417127975125564,15.772637743440843,n,y
a,paso,voiceless,f,928,196,857,1415,3074,3809,2.138068549857084,106,77,2.231680763709016,-0.27194628831702294,10.280489988519381,y,y
a,paso,voiceless,m,198,129,629,1245,2451,3125,2.145598759177108,119,78,1.8924065153082343,-0.19589805650377412,22.776348694753423,y,y
a,paso,voiceless,m,355,153,794,1279,2652,3730,2.136294133408942,82,80,1.6432576163308785,-0.3534392007570578,20.938453881884644,n,y
a,paso,voiceless,m,377,94,743,1205,2565,3627,2.1358316423147983,89,80,1.79117472201823,-0.2770369015542186,12.994346865045525,n,y
e,pelo,voiceless,f,928,195,397,2287,2697,3559,2.607061848763345,92,80,-0.4493669022772661,1.0026420664932112,11.477070722458738,y,n
e,pelo,voiceless,m,198,126,408,1743,2390,3258,2.143312172819255,114,73,-0.13190055092177408,0.8155817997832084,18.824588250030416,y,n
e,peno,voiceless,f,007,148,494,2037,2524,3358,2.144154739970453,117,75,0.099736300513105,0.8611836474510851,19.580112159882646,n,y
e,peno,voiceless,f,863,169,421,2335,2979,4159,2.142170645318227,121,74,-0.2722981341301223,1.011070631264192,15.386092415289543,n,y
e,peno,voiceless,f,928,193,424,2267,2945,4087,2.132371788639446,109,73,-0.2920010610128539,0.9734083886305912,9.322992700730115,y,y
e,peno,voiceless,m,198,134,415,1833,2380,2861,2.1465930664970405,121,74,-0.06778222755702269,0.9983793641724221,22.250492222989582,y,y
e,peno,voiceless,m,355,161,502,1984,2575,3501,2.149231809550107,109,77,5.625667977854338e-4,0.7745582484675942,21.339938939521907,n,y
e,peno,voiceless,m,377,93,421,2050,2567,3556,2.1311098729295637,113,80,5.560927420113744e-4,0.9641941791102291,12.757575381402209,n,y
i,picho,voiceless,f,928,214,270,2620,3005,4319,2.426158773691512,128,73,-1.189569192669131,1.4893828029058351,14.395348297932653,y,n
i,picho,voiceless,m,198,135,289,2036,2725,3350,2.146728854944433,85,77,-1.2219120481225478,1.4106894260725376,20.138628103666623,y,n
i,pimo,voiceless,f,007,145,325,2355,2692,3602,2.128975018501491,99,71,-0.8366767431932697,1.3575700891575289,28.394640581293373,n,y
i,pimo,voiceless,f,863,182,339,2561,3212,3969,2.133083415748465,123,75,-0.6255963461343951,1.3315053005471922,15.611645653616613,n,y
i,pimo,voiceless,f,928,213,397,2476,2803,3804,2.1383001295609736,89,74,-0.4493669022772661,1.2789003222949706,12.209087420082199,y,y
i,pimo,voiceless,m,198,129,304,2071,2683,3376,2.1418969495611355,123,74,-1.0845156409123662,1.481777367779454,24.385404923322085,y,y
i,pimo,voiceless,m,355,173,336,2373,3165,3405,2.143482288406249,123,75,-0.9332983175258223,1.3969568410185016,22.795797239488547,n,y
i,pimo,voiceless,m,377,101,260,2342,2832,3264,2.1715572016919475,118,79,-0.89475322189609785,1.3931166353871742,12.67433101309523,n,y
o,polo,voiceless,f,928,210,484,1013,2900,3406,2.1332400902695903,95,76,0.05770080846361768,-0.859543213355686,9.081609184435901,y,n
o,polo,voiceless,m,198,128,442,845,2328,3037,2.154444555572358,119,73,0.1795313054213041,-1.0083316760113905,23.72467395968325,y,n
o,pono,voiceless,f,007,138,481,966,2715,4128,2.134177620237838,94,76,0.027704527920306945,-0.8106084250885416,23.528562459259827,n,y
o,pono,voiceless,f,863,171,416,985,2834,3721,2.131968600907939,140,74,-0.2938407080328219,-0.903030269320101,17.363731159351747,n,y
o,pono,voiceless,f,928,202,447,1001,2984,3442,2.351010212247496,111,77,-0.1579486777135398,-0.877083420073258,11.904834694329125,y,y
o,pono,voiceless,m,198,124,429,878,2270,2984,2.14721376539173,134,74,0.060454419172480095,-0.9413059024020122,21.834192137372366,y,y
o,pono,voiceless,m,355,159,537,973,2846,3724,2.1470886381564465,119,76,0.19746094602264247,-0.8430380936120132,34.49732691129981,n,y
o,pono,voiceless,m,377,96,426,830,2641,3205,2.145579185842523,128,77,0.028360729842573772,-0.827879097115364,15.25580623755829,n,y
u,pumo,voiceless,f,928,219,391,1031,3038,3508,2.138781804438672,85,74,-0.4843370892249133,-0.8332329032793279,24.479230808798658,y,n
u,pumo,voiceless,m,198,134,363,748,2360,3082,2.152560484395038,76,77,-0.5440897725523187,-1.2053468287419875,22.043691252849218,y,n
u,puso,voiceless,f,007,152,358,880,2729,3791,2.1632674073341684,94,75,-0.6538268589192439,-0.9448512992607245,26.331907407416644,n,y
u,puso,voiceless,f,863,173,338,891,2771,3821,2.1231526844188724,131,75,-0.629904860914935,-1.036308406101526,18.53205223695298,n,y
u,puso,voiceless,f,928,235,407,979,2830,3503,2.1388020980275466,88,78,-0.3910832573645209,-0.90924046572214,8.468129642920985,y,y
u,puso,voiceless,m,198,136,364,822,1950,2701,2.147645227030607,128,77,-0.53493001207164,-1.0550466091330786,19.715626020370802,y,y
u,puso,voiceless,m,355,165,331,832,2792,3538,2.1381970687113983,102,77,-0.9614266574150875,-1.0686375834569435,41.84038733830198,n,y
u,puso,voiceless,m,377,104,278,735,2568,3302,2.148654925452508,91,78,-0.7946565283340732,-0.9674257866575209,24.5552810404579,n,y
